,Date,DT_R,DT_NEE,Label,Res,NEE,NEE1,NEE2,GEE,PAR,Soil temperature,Chamber_temp,Soil_moist
46,20220621,"[datetime.datetime(2022, 6, 21, 9, 40, 35)]","[datetime.datetime(2022, 6, 21, 10, 11, 22)]",LC_HL5,11.67031,-2.94317,,,-14.613480000000001,550.0,21.7,22.47955,23.2
47,20220621,"[datetime.datetime(2022, 6, 21, 9, 37, 58)]","[datetime.datetime(2022, 6, 21, 10, 13, 44)]",LC_HL6,7.85215,-4.81361,,,-12.665759999999999,500.0,22.3,22.40136,32.9
48,20220621,"[datetime.datetime(2022, 6, 21, 11, 32, 1)]","[datetime.datetime(2022, 6, 21, 10, 48, 33)]",LH_UL1,10.21049,-7.20552,,,-17.41601,1650.0,21.3,25.44591,27.2
49,20220621,"[datetime.datetime(2022, 6, 21, 11, 37, 2)]","[datetime.datetime(2022, 6, 21, 10, 52, 34)]",LH_UL2,11.18193,-5.83939,,,-17.02132,1700.0,21.3,25.56591,24.9
50,20220621,"[datetime.datetime(2022, 6, 21, 11, 41, 15)]","[datetime.datetime(2022, 6, 21, 10, 57, 6)]",LH_UL3,12.05014,-6.88306,,,-18.9332,830.0,22.0,26.07273,32.9
51,20220621,"[datetime.datetime(2022, 6, 21, 11, 55, 30)]","[datetime.datetime(2022, 6, 21, 10, 59, 31)]",LH_UL4,7.05676,-2.14392,,,-9.20068,760.0,22.1,23.78409,27.7
52,20220621,"[datetime.datetime(2022, 6, 21, 11, 47, 47)]","[datetime.datetime(2022, 6, 21, 11, 2, 36)]",LH_UL5,11.00869,-3.91139,,,-14.920079999999999,860.0,21.2,25.24,38.0
53,20220621,"[datetime.datetime(2022, 6, 21, 11, 50, 39)]","[datetime.datetime(2022, 6, 21, 11, 4, 34)]",LH_UL6,10.21829,-6.2029,,,-16.42119,1000.0,21.4,24.55773,34.6
54,20220621,"[datetime.datetime(2022, 6, 21, 11, 27, 13)]","[datetime.datetime(2022, 6, 21, 11, 8, 28)]",LH_SV1,10.58101,-7.54295,,,-18.12396,650.0,21.4,25.31636,31.7
55,20220621,"[datetime.datetime(2022, 6, 21, 11, 21, 46)]","[datetime.datetime(2022, 6, 21, 11, 12, 30)]",LH_SV2,5.64821,0.10233,,,-5.5458799999999995,220.0,18.3,23.55909,43.1
56,20220629,"[datetime.datetime(2022, 6, 29, 11, 58)]",[],LC_HL1,8.37179,,,,,,,27.95909,
57,20220629,"[datetime.datetime(2022, 6, 29, 12, 5)]",[],LC_HL2,10.48433,,,,,,,28.86358,
